frame,left_hand_raised,right_hand_raised,squat,leg_lift,arm_movement,left_elbow_angle,right_elbow_angle,average_knee_angle,arm_movement_amount,detected_move
41,False,False,False,False,False,172.22482771298993,167.92961750676898,170.82323595461347,0.009370533263992356,Standing / Neutral
42,False,False,False,False,False,170.0780805702237,170.5101154186968,169.7718091435778,0.011065869200862714,Standing / Neutral
43,False,False,False,False,False,171.37415524872662,170.85295046142787,172.3272891970122,0.009860472390995826,Standing / Neutral
44,False,False,False,False,False,165.46678271613854,171.64113444346913,173.44291084713032,0.008074154131046184,Standing / Neutral
45,False,False,False,False,False,158.96363231575074,169.97427544528492,176.01454417602395,0.0117572922919602,Standing / Neutral
46,False,False,False,False,False,150.29060868211187,168.55023084794817,175.23921879428175,0.008443511368040484,Standing / Neutral
47,False,False,False,False,False,139.6372372667804,166.90556052225108,168.61901000732837,0.00800979561821489,Standing / Neutral
48,False,False,False,False,False,135.62861655680734,163.80853988217123,163.84317481566666,0.006357189041807489,Standing / Neutral
49,False,False,False,False,False,130.6148605825413,165.45185491664958,166.6151619270581,0.00865592174508452,Standing / Neutral
50,False,False,False,False,False,124.06536790484215,166.38452571863772,172.41095418606548,0.006588001049549246,Standing / Neutral
51,False,False,False,False,False,140.17681314899033,171.73685460228563,172.91487775501702,0.013425018115844647,Standing / Neutral
52,False,False,False,False,False,147.19796202961837,173.81422642356705,165.81148947314603,0.014240861146950515,Standing / Neutral
53,False,False,False,False,False,152.14459438213734,172.08485107092145,174.72771204951152,0.008465396303359822,Standing / Neutral
54,False,False,False,False,False,155.15854727885386,165.3967616358548,164.9052130944726,0.006331071946808738,Standing / Neutral
55,False,False,False,False,False,158.95670794008618,163.90681990695592,164.36427664507653,0.0034222069327582167,Standing / Neutral
56,False,False,False,False,False,161.78190144802045,166.62744073906356,164.18036741786995,0.005236067052090974,Standing / Neutral
57,False,False,False,False,False,165.39540339593432,171.54021313485492,167.26154452613935,0.006880015575676847,Standing / Neutral
58,False,False,False,False,False,167.75106005231714,173.10346445096218,170.37461639935182,0.005689219737899839,Standing / Neutral
59,False,False,False,False,False,164.65626473439193,173.34586732551895,171.59423812264382,0.008540490709705362,Standing / Neutral
60,False,False,False,False,False,161.90478154633513,170.45511828384264,169.20492219381026,0.0051515929330721265,Standing / Neutral
